ci95_high,ci95_low,delay_profile,estimate_mean,estimate_runtime,metric,model,paired_episode_count,paired_mean_difference,paired_relative_difference_percent,reference_mean,reference_runtime,split
0.26666666666666666,-0.13333333333333333,fixed_0250,0.9333333333333333,sync_hold,success,xvla,15,0.06666666666666667,,0.8666666666666667,lerobot_latest_only,holdout
17.06833333333331,-58.666666666666664,fixed_0250,130.13333333333333,sync_hold,environment_steps,xvla,15,-17.733333333333334,-3.9798237319610004,147.86666666666667,lerobot_latest_only,holdout
-0.06666666666666667,-0.5333333333333333,fixed_0950,0.6666666666666666,actionstream_backend_aligned,success,xvla,15,-0.26666666666666666,,0.9333333333333333,lerobot_latest_only,holdout
84.33499999999997,3.4,fixed_0950,206.8,actionstream_backend_aligned,environment_steps,xvla,15,41.53333333333333,35.015888491460686,165.26666666666668,lerobot_latest_only,holdout
-0.13333333333333333,-0.6666666666666666,fixed_0950,0.5333333333333333,actionstream_backend_guarded,success,xvla,15,-0.4,,0.9333333333333333,lerobot_latest_only,holdout
111.4,23.865000000000002,fixed_0950,231.8,actionstream_backend_guarded,environment_steps,xvla,15,66.53333333333333,53.25551817929739,165.26666666666668,lerobot_latest_only,holdout
0.0,-0.4,fixed_0950,0.7333333333333333,lerobot_weighted_average,success,xvla,15,-0.2,,0.9333333333333333,lerobot_latest_only,holdout
48.733333333333334,-0.2,fixed_0950,187.0,lerobot_weighted_average,environment_steps,xvla,15,21.733333333333334,12.366542008597241,165.26666666666668,lerobot_latest_only,holdout
0.0,0.0,fixed_0950,0.9333333333333333,sync_hold,success,xvla,15,0.0,,0.9333333333333333,lerobot_latest_only,holdout
-27.866666666666667,-41.666666666666664,fixed_0950,130.13333333333333,sync_hold,environment_steps,xvla,15,-35.13333333333333,-22.447824186984526,165.26666666666668,lerobot_latest_only,holdout
0.0,0.0,jitter_0600_pm0400_holdout,0.9333333333333333,actionstream_backend_aligned,success,xvla,15,0.0,,0.9333333333333333,lerobot_latest_only,holdout
8.333333333333334,-6.0,jitter_0600_pm0400_holdout,144.86666666666667,actionstream_backend_aligned,environment_steps,xvla,15,0.5333333333333333,0.657614984061724,144.33333333333334,lerobot_latest_only,holdout
0.0,-0.3333333333333333,jitter_0600_pm0400_holdout,0.8,actionstream_backend_guarded,success,xvla,15,-0.13333333333333333,,0.9333333333333333,lerobot_latest_only,holdout
63.4,-3.8666666666666667,jitter_0600_pm0400_holdout,168.33333333333334,actionstream_backend_guarded,environment_steps,xvla,15,24.0,23.110430408187188,144.33333333333334,lerobot_latest_only,holdout
-0.13333333333333333,-0.6666666666666666,jitter_0600_pm0400_holdout,0.5333333333333333,lerobot_weighted_average,success,xvla,15,-0.4,,0.9333333333333333,lerobot_latest_only,holdout
104.6,22.0,jitter_0600_pm0400_holdout,207.2,lerobot_weighted_average,environment_steps,xvla,15,62.86666666666667,45.248610783483066,144.33333333333334,lerobot_latest_only,holdout
0.0,0.0,jitter_0600_pm0400_holdout,0.9333333333333333,sync_hold,success,xvla,15,0.0,,0.9333333333333333,lerobot_latest_only,holdout
-8.066666666666666,-20.533333333333335,jitter_0600_pm0400_holdout,130.13333333333333,sync_hold,environment_steps,xvla,15,-14.2,-10.72194783015259,144.33333333333334,lerobot_latest_only,holdout
