bounded_hold_steps_sum,completed_inferences_per_second_mean,delay_profile,delivery_latency_p50_seconds_median,delivery_latency_p95_seconds_median,depletion_safe_hold_steps_sum,disconnects_sum,dropped_prefix_steps_sum,environment_steps_per_second_mean,episodes,fallback_activations_sum,fallback_chunks_accepted_sum,gpu_generated_actions_per_second_p50_median,hold_steps_sum,inference_latency_p50_seconds_median,inference_latency_p95_seconds_median,mean_environment_steps,model,peak_cuda_memory_mib_max,queue_age_p50_steps_median,queue_age_p95_steps_median,queue_depth_p50_steps_median,queue_depth_p95_steps_median,recoveries_sum,runtime,split,success_rate,successes
0.0,6.17707991573417,fixed_0000,0.09425159159582108,0.13969349953113122,0.0,15.0,2715.0,12.226918496477166,15,0.0,0.0,349.49885545780376,0.0,0.08583719097077847,0.12715300247073172,184.06666666666666,xvla,12258.9501953125,3.0,5.0,28.0,29.0,15.0,actionstream_backend_guarded,holdout,0.8,12
0.0,1.2833252529498067,fixed_0250,0.43401986197568476,1.5292334506753795,0.0,15.0,2143.0,10.532682523740117,15,0.0,0.0,177.61193411420456,0.0,0.16890756890643388,1.2641658469568902,148.66666666666666,xvla,12258.9501953125,13.0,18.0,18.0,23.39999999999999,15.0,actionstream_backend_guarded,holdout,0.8666666666666667,13
271.0,0.5774308457915717,fixed_0950,1.1435288675129414,3.7424533085431904,1876.0,15.0,3316.0,11.527242892278746,15,0.0,0.0,170.4142995802997,2147.0,0.17604156502056867,2.778288937639445,231.8,xvla,12258.9501953125,25.0,29.64999999999999,0.0,20.25,15.0,actionstream_backend_guarded,holdout,0.5333333333333333,8
138.0,0.7485087563425181,jitter_0600_pm0400_holdout,0.8568255959544331,3.1613778713159233,415.0,15.0,2413.0,10.440884830271004,15,0.0,0.0,172.33433360321573,553.0,0.1740802275016904,2.5208245216053875,168.33333333333334,xvla,12258.9501953125,21.0,29.0,7.0,23.0,15.0,actionstream_backend_guarded,holdout,0.8,12
,3.1631989456284755,burst_0250_to2000_holdout,0.39206992101389915,1.8675669341348111,,,5833.0,11.883474420899729,15,,,326.3232501078781,299.0,0.09193338197655976,0.15806502755731344,180.4,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.8,12
,1.943611323925699,fixed_0000,0.16653096955269575,0.29420039933174846,,,1614.0,11.791128141513264,15,,,245.1958220391824,0.0,0.1223511875141412,0.1808127857861109,171.46666666666667,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.7333333333333333,11
,2.2056398830211177,fixed_0250,0.3947676265379414,0.47797377160750326,,,3408.0,10.949481676272882,15,,,306.17882200518886,0.0,0.09798195643816143,0.17080412950599566,147.86666666666667,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.8666666666666667,13
,4.892514421800393,fixed_0950,1.0729385069571435,1.1304580916184932,,,13857.0,11.097471017155424,15,,,346.51795248956626,109.0,0.0865756010171026,0.13292743287747724,165.26666666666668,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.9333333333333333,14
,3.705279847884982,jitter_0600_pm0400_holdout,0.7493669290561229,1.1131904753507114,,,9242.0,10.81052198618785,15,,,341.2672310474191,50.0,0.08790764911100268,0.14788659189362077,144.33333333333334,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.9333333333333333,14
,3.2423672131118253,burst_0250_to2000_holdout,0.39490752946585417,1.929671345185488,,,6563.0,12.501708913915962,15,,,312.07486017195953,379.0,0.09613078087568283,0.15850072097964585,208.8,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,0.6,9
,2.0098818791951656,fixed_0000,0.16443140897899866,0.2920391809195279,,,1762.0,12.239984055015665,15,,,250.5357814690227,0.0,0.11974337487481534,0.16266526379622517,189.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,0.6666666666666666,10
,2.4297558230084784,fixed_0250,0.38258512248285115,0.4514089373406022,,,4576.0,12.06000292366756,15,,,298.415045939476,0.0,0.10053112404420972,0.1568512405152432,194.6,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,0.6,9
