bounded_hold_steps_sum,completed_inferences_per_second_mean,delay_profile,delivery_latency_p50_seconds_median,delivery_latency_p95_seconds_median,depletion_safe_hold_steps_sum,disconnects_sum,dropped_prefix_steps_sum,environment_steps_per_second_mean,episodes,fallback_activations_sum,fallback_chunks_accepted_sum,gpu_generated_actions_per_second_p50_median,hold_steps_sum,inference_latency_p50_seconds_median,inference_latency_p95_seconds_median,mean_environment_steps,model,peak_cuda_memory_mib_max,queue_age_p50_steps_median,queue_age_p95_steps_median,queue_depth_p50_steps_median,queue_depth_p95_steps_median,recoveries_sum,runtime,split,success_rate,successes,suite
23.0,0.6623094248489285,jitter_0600_pm0400_holdout,0.8445600559934974,3.950326085602863,47.0,5.0,509.0,8.6976312350439,5,0.0,0.0,198.18813242395365,70.0,0.15137132396921515,3.3522843146231005,110.4,xvla,12258.9501953125,21.0,29.0,9.0,24.89999999999999,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_goal
22.0,0.8679052588998613,burst_0250_to2000_holdout,0.4673640481196344,3.727907211415001,115.0,5.0,430.0,11.322949555200926,5,11.0,11.0,162.8991271068197,137.0,0.18416304944548756,2.5944740965496713,176.4,xvla,12258.9501953125,17.0,63.14999999999999,16.0,28.0,5.0,actionstream_backend_guarded,holdout,0.8,4,libero_goal
0.0,5.28722690901445,fixed_0000,0.09574533440172672,0.1477655618917197,0.0,5.0,618.0,10.656666425062028,5,0.0,0.0,347.60852230844046,0.0,0.08630398300010711,0.1351518273819238,126.6,xvla,12258.9501953125,3.0,5.0,28.0,29.0,5.0,actionstream_backend_guarded,holdout,1.0,5,libero_goal
0.0,1.1364482539283425,fixed_0250,0.41780542803462595,2.3227328341919913,0.0,5.0,473.0,9.084605441387435,5,0.0,0.0,197.75397836014918,0.0,0.1517036483855918,2.0573666503070838,102.4,xvla,12258.9501953125,13.0,18.0,18.0,24.849999999999994,5.0,actionstream_backend_guarded,holdout,1.0,5,libero_goal
120.0,0.6262829079284593,fixed_0950,1.1435288675129414,2.7713085920317044,838.0,5.0,1432.0,13.055759146438769,5,0.0,0.0,170.68767393600515,958.0,0.17575961584225297,1.806407970678987,300.0,xvla,12258.9501953125,25.5,29.64999999999999,0.0,15.050000000000011,5.0,actionstream_backend_guarded,holdout,0.0,0,libero_goal
59.0,0.7562265767747933,jitter_0600_pm0400_holdout,0.8568255959544331,3.9346360338851794,116.0,5.0,902.0,10.456882653852869,5,0.0,0.0,174.82241022408425,175.0,0.1716027136426419,3.352530147228388,184.2,xvla,12258.9501953125,21.0,29.0,7.0,24.599999999999994,5.0,actionstream_backend_guarded,holdout,0.6,3,libero_goal
,2.571960053541591,burst_0250_to2000_holdout,0.4060694428626448,1.8675669341348111,,,1051.0,10.50601161322053,5,,,310.9073443526443,91.0,0.0964917701203376,0.16321441885083912,146.6,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.8,4,libero_goal
,1.9109015714003845,fixed_0000,0.17151184054091573,1.5335121615207754,,,555.0,11.57885743414661,5,,,245.6415884865132,0.0,0.12212915648706257,1.4474605764844455,178.8,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.6,3,libero_goal
,2.0044786340262424,fixed_0250,0.3947676265379414,1.4598456462379508,,,990.0,10.083468785843975,5,,,281.0358101326018,0.0,0.10674796206876636,1.1837850360665434,134.8,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,0.8,4,libero_goal
,3.997021916474503,fixed_0950,1.0752879983047023,1.1354864069027826,,,2985.0,9.8620348441794,5,,,348.0221150412486,38.0,0.0862014185404405,0.13292743287747724,124.0,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,1.0,5,libero_goal
,2.50689482501194,jitter_0600_pm0400_holdout,0.7063195834634826,1.1351409500930458,,,1415.0,9.660023493205884,5,,,298.7921103742518,26.0,0.10040425753686577,0.16795191193232312,110.4,xvla,12258.9501953125,,,,,,lerobot_latest_only,holdout,1.0,5,libero_goal
,2.7819190688936635,burst_0250_to2000_holdout,0.4090143581852317,1.896458011935465,,,1653.0,11.434558148042019,5,,,309.60734521374684,113.0,0.09689692594110966,0.15643027783371508,184.2,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,0.6,3,libero_goal
,1.8838790916277848,fixed_0000,0.17398673598654568,1.547563101805281,,,566.0,11.574929309888592,5,,,246.52928301138908,0.0,0.12168939784169197,1.4626095648272894,178.0,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,0.6,3,libero_goal
,2.2368609735057214,fixed_0250,0.3859669629018754,0.9507577901007498,,,1366.0,11.268388986026855,5,,,301.8487424668355,0.0,0.09938752686139196,0.665716584213067,176.4,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,0.6,3,libero_goal
,4.355381434066637,fixed_0950,1.0659815268591046,1.1183488222304732,,,3205.0,9.689186486651547,5,,,347.79165645754745,35.0,0.08625853853300214,0.12435173196718097,119.8,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,1.0,5,libero_goal
,2.572591301230873,jitter_0600_pm0400_holdout,0.663264126284048,1.1206913904868998,,,1427.0,9.574077489103958,5,,,325.0721240629384,22.0,0.09228721191175282,0.15378586151637136,109.4,xvla,12258.9501953125,,,,,,lerobot_weighted_average,holdout,1.0,5,libero_goal
,0.6236103446160852,burst_0250_to2000_holdout,0.4197921089362353,0.43438206030987203,,,0.0,15.273387241222158,5,,,329.12492602200024,0.0,0.09115079906769097,0.1022161157336086,92.8,xvla,3528.9501953125,,,,,,sync_hold,holdout,1.0,5,libero_goal
,0.7604831571254052,fixed_0000,0.10236563195940107,0.11250133491121232,,,0.0,18.59968965765936,5,,,319.25249638925095,0.0,0.09396950795780867,0.10415771465050057,92.8,xvla,3520.8251953125,,,,,,sync_hold,holdout,1.0,5,libero_goal
,0.637602912772391,fixed_0250,0.35154659440740943,0.36116810225648804,,,0.0,15.613385992480207,5,,,320.2805620424532,0.0,0.09366787609178573,0.10325951342238113,92.8,xvla,3528.9501953125,,,,,,sync_hold,holdout,1.0,5,libero_goal
,0.4404218664125928,fixed_0950,1.0510192095534876,1.060808330506552,,,0.0,10.805801863613208,5,,,321.6230730000923,0.0,0.09327688999474049,0.10295254731317982,92.8,xvla,3528.9501953125,,,,,,sync_hold,holdout,1.0,5,libero_goal
,0.4961101377034445,jitter_0600_pm0400_holdout,0.8521122459787875,0.9679077152279205,,,0.0,12.166464269812206,5,,,322.80538388463884,0.0,0.09293525293469429,0.10171858138637617,92.8,xvla,3528.9501953125,,,,,,sync_hold,holdout,1.0,5,libero_goal
17.0,0.9217645609939613,burst_0250_to2000_holdout,0.4723318169126287,3.2736373225925477,275.0,5.0,769.0,11.695844061721246,5,0.0,0.0,180.3103360987797,292.0,0.1663798129884526,2.025733090413267,189.0,xvla,12258.9501953125,14.0,26.0,14.0,22.150000000000006,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_object
0.0,6.260838796137051,fixed_0000,0.09204099094495177,0.14526924612000583,0.0,5.0,870.0,12.33215235816294,5,0.0,0.0,353.9477999084146,0.0,0.08475826098583639,0.13330192175926636,176.6,xvla,12258.9501953125,3.0,5.0,27.0,29.0,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_object
0.0,1.3145085798576062,fixed_0250,0.42952121002599597,1.2851065511000273,0.0,5.0,675.0,10.902456508112047,5,0.0,0.0,182.4097131758628,0.0,0.16446492611430585,1.0168220726190995,144.4,xvla,12258.9501953125,13.0,17.349999999999994,18.0,23.19999999999999,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_object
70.0,0.5404308145591113,fixed_0950,1.147255206014961,3.986884695431212,434.0,5.0,811.0,10.42068912733038,5,0.0,0.0,164.3485324757539,504.0,0.18253889796324074,3.0238901821779964,173.6,xvla,12258.9501953125,25.0,29.200000000000003,0.0,21.299999999999983,5.0,actionstream_backend_aligned,holdout,1.0,5,libero_object
