suite,task_id,task_instruction,runtime,initial_state_index,seed,success,environment_steps,wall_clock_episode_seconds,inference_requests_per_second,inference_calls,depletion_safe_hold_steps,hold_steps,inference_latency_p50_seconds,inference_latency_p95_seconds,delivery_latency_p50_seconds,delivery_latency_p95_seconds,queue_age_p50_steps,queue_age_p95_steps,queue_depth_p50_steps,queue_depth_p95_steps,observations_superseded,dropped_prefix_steps,responses_scheduled,responses_delivered,responses_rejected_out_of_order,fallback_activations,inference_errors,inference_timeouts,peak_cuda_memory_mib,trace_sha256,telemetry_jsonl_sha256,video_sha256
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_aligned,10,2026102310,False,300,16.199929494876415,0.925929955728763,15,141,167,0.10937538789585233,0.1426507912576198,1.0715346322394907,1.1040762034710496,25.0,29.0,0.0,15.050000000000011,285,281,0,0,0,0,0,0,3520.8251953125,1b792a8c0b7a5db0a3ad0c10c81ef4123b42c224e72365c8931c32600ef6fee1,684d167a51a05daa7aeb29e14d46577d415243fe7294517f418a26c078e4d92f,b3813a0f8902769cc26aec19ec3d60f240a1b8f12545d20b4faf84185a660ca0
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_pipelined_aligned,10,2026102310,True,123,7.199094749055803,10.69578921851236,77,0,0,0.06906796898692846,0.08911980865523218,1.0263543748296797,1.0464259910397231,21.0,23.89999999999999,9.0,23.89999999999999,46,1279,76,63,0,0,0,0,3520.8251953125,eda5bd56710087a03dbec1110c433695f1a34e330758958b18a4dcc404335dd0,b2400f015d4e611afce910adf45fc575ff4d19a816b9c974dd53931639254b5d,1ef792ea122dcc1f92367091169a314fa40546b9ba19774c7577aa2a5ac95fcf
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_aligned,11,2026102311,True,175,9.997723198030144,0.9002049588423566,9,81,95,0.11036610789597034,0.2582913942635059,1.0707330899313092,1.2267430545762181,24.0,29.0,0.0,21.299999999999983,165,157,0,0,0,0,0,0,3520.8251953125,e2cfe0f5ad48fc1d4ec02dd4082083922eb3e3437197054e33477060872b1e32,43fe38e287dbabec38b7bf556e0e99cd8168c458c9ed5b3627f72acb46aaa828,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_pipelined_aligned,11,2026102311,True,133,7.664922882802784,10.959014367706756,84,0,0,0.07110818894580007,0.0770654771476984,1.0276228869333863,1.0368224845733494,21.0,22.0,9.0,23.39999999999999,48,1439,83,71,0,0,0,0,3520.8251953125,cb08c9b695e510f9edca72d955ae5f067341cda21dfd22fe8f87ac3548de2029,03162bcf6aecbcc0e9fc65001eeb55ff08a1f20b476408623118bacde7bf6cc9,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_aligned,12,2026102312,True,143,8.934888755902648,0.8953664918004678,8,64,74,0.1229145925026387,0.2561013410799205,1.0842058691196144,1.22412794213742,24.0,29.0,0.0,22.900000000000006,134,136,0,0,0,0,0,0,3520.8251953125,e6286b66a053e10da6b70c37cabec8250d78025263db48d9d54e1f4afbde6898,e10046491298f14b9d4f15dd42cfa9cabcf059ddfc3d85a768231b4a92120bc1,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_pipelined_aligned,12,2026102312,True,118,6.939195406157523,10.231733773774097,71,0,0,0.07012496143579483,0.09574622418731449,1.0274324051570147,1.0559585483511909,21.0,24.0,9.0,24.14999999999999,46,1174,70,58,0,0,0,0,3520.8251953125,62a9a1b74b2636af8b6295ea5a5b3298d4fdb8c8ddc9293f3fa914d12bf07134,305ce3aecf9ff0aaf3b583512c5b0e69d224dfe948b50a75c600f4cfbcbd1d05,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_aligned,13,2026102313,False,300,16.835460277739912,0.890976531234683,15,154,178,0.14494373183697462,0.23847189908847208,1.1063760742545128,1.2040202567353844,25.0,29.0,0.0,15.050000000000011,285,293,0,0,0,0,0,0,3520.8251953125,0ea824b3c0eb97b8beadc84aa9a0439c14d2719bf1c39da771b4e08ce5b2af18,16e4ea5a946b1098fab7c255cabac939dd5701cfb9f13ad33e803d6a9b38de9f,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_pipelined_aligned,13,2026102313,True,127,7.3832652061246336,10.022665844187047,74,0,0,0.07236928213387728,0.104175821878016,1.029751569032669,1.0665920139290392,21.0,24.0,9.0,23.69999999999999,52,1240,73,61,0,0,0,0,3520.8251953125,d0fe499f8fe07e390a1ec8b3f9ad2235dd4490323457a7b9a3a082d14b94c9c5,2d35d19aee0f4a4086170424ee04f8e2f71970b9160966a95972cf95478a4adc,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_aligned,14,2026102314,True,148,9.152656598947942,0.874063165542512,8,70,80,0.16231497656553984,0.253719702293165,1.1253304968122393,1.2216045175911858,25.0,30.0,0.0,22.650000000000006,139,139,0,0,0,0,0,0,3520.8251953125,8374dbc932df354d49ba4ffacd87d1b2f66d6b0d98fe082d01469e0998f7677a,4c8cd0beb9126307bba15b3647458467fb80ad202eebfbeaf3056553f62eb9ce,
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,actionstream_backend_pipelined_aligned,14,2026102314,True,118,6.923700063023716,10.110201100974558,70,0,0,0.07018162263557315,0.09697167817503209,1.026661077979952,1.0575613329187035,21.0,24.0,9.0,24.14999999999999,47,1163,69,57,0,0,0,0,3520.8251953125,34d33dd9252ee25e61d150ab5c65ca163fc6c6960b0f0bcdefbf1e0344b3535a,8fe507f061eed4841bc88e8b6c53e308774ab8b912d5aad95ac4b2cb81fd456a,
